LSTM 語言模型訓練日誌
啟動時間: 2026-06-04 11:34:49.841177
vocab_size=1675, embed_size=128, hidden_size=128, num_layers=2, dropout=0.3
batch_size=64, lr=0.001, sequence_length=20, val_split=0.1, clip_grad_norm=1.0, min_freq=3, rep_penalty=1.2
================================================================================
 epoch | train_loss |   val_loss |           lr |  grad_norm |                 time
   217 |     2.9605 |     4.9427 |   0.00001000 |     4.2277 |  2026-06-04 11:41:27
   218 |     2.9623 |     4.9431 |   0.00001000 |     3.7350 |  2026-06-04 11:41:29
   219 |     2.9608 |     4.9437 |   0.00001000 |     3.6377 |  2026-06-04 11:41:31
   220 |     2.9661 |     4.9441 |   0.00001000 |     3.1764 |  2026-06-04 11:41:33
   221 |     2.9640 |     4.9437 |   0.00001000 |     3.6875 |  2026-06-04 11:41:35
   222 |     2.9603 |     4.9439 |   0.00001000 |     3.5308 |  2026-06-04 11:41:37
   223 |     2.9598 |     4.9444 |   0.00001000 |     3.4220 |  2026-06-04 11:41:39
   224 |     2.9611 |     4.9447 |   0.00001000 |     3.4245 |  2026-06-04 11:41:41
   225 |     2.9627 |     4.9447 |   0.00001000 |     3.3791 |  2026-06-04 11:41:43
   226 |     2.9556 |     4.9442 |   0.00001000 |     3.3055 |  2026-06-04 11:41:45
   227 |     2.9573 |     4.9447 |   0.00001000 |     3.1083 |  2026-06-04 11:41:47
   228 |     2.9612 |     4.9441 |   0.00001000 |     3.5279 |  2026-06-04 11:41:49
   229 |     2.9591 |     4.9440 |   0.00001000 |     3.2637 |  2026-06-04 11:41:51
   230 |     2.9550 |     4.9440 |   0.00001000 |     3.7274 |  2026-06-04 11:41:53
   231 |     2.9521 |     4.9442 |   0.00001000 |     3.0905 |  2026-06-04 11:41:55
   232 |     2.9550 |     4.9440 |   0.00001000 |     2.7484 |  2026-06-04 11:41:57
   233 |     2.9607 |     4.9443 |   0.00001000 |     3.2373 |  2026-06-04 11:41:59
   234 |     2.9622 |     4.9449 |   0.00001000 |     3.3485 |  2026-06-04 11:42:01
   235 |     2.9590 |     4.9451 |   0.00001000 |     3.3271 |  2026-06-04 11:42:03
   236 |     2.9539 |     4.9452 |   0.00001000 |     3.5230 |  2026-06-04 11:42:04
   237 |     2.9580 |     4.9449 |   0.00001000 |     3.6468 |  2026-06-04 11:42:07
   238 |     2.9583 |     4.9453 |   0.00001000 |     4.0085 |  2026-06-04 11:42:09
   239 |     2.9569 |     4.9451 |   0.00001000 |     3.8011 |  2026-06-04 11:42:11
   240 |     2.9577 |     4.9455 |   0.00001000 |     3.2881 |  2026-06-04 11:42:13
   241 |     2.9580 |     4.9460 |   0.00001000 |     4.0112 |  2026-06-04 11:42:14
   242 |     2.9553 |     4.9462 |   0.00001000 |     2.8364 |  2026-06-04 11:42:16
   243 |     2.9553 |     4.9465 |   0.00001000 |     3.4032 |  2026-06-04 11:42:18
   244 |     2.9471 |     4.9467 |   0.00001000 |     3.4014 |  2026-06-04 11:42:20
   245 |     2.9599 |     4.9462 |   0.00001000 |     3.2255 |  2026-06-04 11:42:22
   246 |     2.9572 |     4.9463 |   0.00001000 |     3.0476 |  2026-06-04 11:42:24
   247 |     2.9497 |     4.9460 |   0.00001000 |     3.4035 |  2026-06-04 11:42:26
   248 |     2.9610 |     4.9464 |   0.00001000 |     3.2056 |  2026-06-04 11:42:28
   249 |     2.9478 |     4.9469 |   0.00001000 |     3.3733 |  2026-06-04 11:42:29
   250 |     2.9561 |     4.9468 |   0.00001000 |     2.9993 |  2026-06-04 11:42:31
